,Date,Actual Open,Fractional Change Prediction,Predictions,Actual Close
0,2021-01-04,377.42999267578125,1,1,380.1499938964844
1,2021-01-05,378.8599853515625,1,1,375.739990234375
2,2021-01-06,373.82000732421875,1,1,370.0199890136719
3,2021-01-07,371.010009765625,0,0,367.9200134277344
4,2021-01-08,368.1199951171875,0,0,369.94000244140625
5,2021-01-11,368.5799865722656,1,1,364.010009765625
6,2021-01-12,364.0,0,0,364.20001220703125
7,2021-01-13,364.3699951171875,1,1,366.95001220703125
8,2021-01-14,366.0,1,1,362.3500061035156
9,2021-01-15,361.05999755859375,1,1,362.1600036621094
10,2021-01-19,362.3599853515625,1,1,354.4700012207031
11,2021-01-20,354.3900146484375,0,0,361.29998779296875
12,2021-01-21,361.29998779296875,0,0,362.79998779296875
13,2021-01-22,363.20001220703125,0,0,362.29998779296875
14,2021-01-25,360.8599853515625,0,0,361.8800048828125
15,2021-01-26,360.20001220703125,0,0,364.9800109863281
16,2021-01-27,362.989990234375,1,1,356.3900146484375
17,2021-01-28,356.8500061035156,0,0,357.05999755859375
18,2021-01-29,354.75,1,1,352.42999267578125
19,2021-02-01,351.2099914550781,0,0,350.5199890136719
20,2021-02-02,351.760009765625,0,0,355.5799865722656
21,2021-02-03,356.2300109863281,1,1,355.2099914550781
22,2021-02-04,356.7099914550781,0,0,355.8500061035156
23,2021-02-05,356.54998779296875,0,0,355.1700134277344
24,2021-02-08,356.57000732421875,0,0,359.8299865722656
25,2021-02-09,360.0400085449219,1,1,359.55999755859375
26,2021-02-10,361.0,0,0,356.1199951171875
27,2021-02-11,355.7300109863281,0,0,352.20001220703125
28,2021-02-12,351.989990234375,0,0,352.75
29,2021-02-16,353.0799865722656,1,1,354.0
30,2021-02-17,353.1099853515625,1,1,358.0400085449219
31,2021-02-18,352.2799987792969,1,1,356.9200134277344
32,2021-02-19,356.69000244140625,1,1,354.7699890136719
33,2021-02-22,352.75,1,1,350.2099914550781
34,2021-02-23,349.79998779296875,0,0,342.1499938964844
35,2021-02-24,341.7900085449219,0,0,340.70001220703125
36,2021-02-25,340.8500061035156,0,0,333.8999938964844
37,2021-02-26,335.510009765625,0,0,331.0
38,2021-03-01,335.2099914550781,0,0,331.7699890136719
39,2021-03-02,333.69000244140625,0,0,328.4599914550781
40,2021-03-03,328.1700134277344,0,0,323.9200134277344
41,2021-03-04,323.3699951171875,0,0,319.0400085449219
42,2021-03-05,315.3299865722656,0,0,317.32000732421875
43,2021-03-08,318.9100036621094,1,1,311.4200134277344
44,2021-03-09,313.760009765625,0,0,318.7799987792969
45,2021-03-10,321.1400146484375,0,0,323.8299865722656
46,2021-03-11,330.4100036621094,0,0,328.6499938964844
47,2021-03-12,328.1000061035156,0,0,331.1400146484375
48,2021-03-15,333.6000061035156,0,0,330.510009765625
49,2021-03-16,329.6700134277344,0,0,327.25
50,2021-03-17,326.0,0,0,329.19000244140625
51,2021-03-18,326.4800109863281,1,1,322.9800109863281
52,2021-03-19,323.6099853515625,0,0,328.9100036621094
53,2021-03-22,328.45001220703125,1,1,334.489990234375
54,2021-03-23,333.8900146484375,1,1,340.3399963378906
55,2021-03-24,342.2200012207031,1,1,338.0400085449219
56,2021-03-25,337.80999755859375,1,1,346.3399963378906
57,2021-03-26,346.2099914550781,1,1,352.0199890136719
58,2021-03-29,351.45001220703125,1,1,356.1499938964844
59,2021-03-30,353.5799865722656,1,1,349.75
60,2021-03-31,350.6600036621094,0,0,352.4800109863281
61,2021-04-01,352.5400085449219,1,1,354.94000244140625
62,2021-04-05,357.5,1,1,360.82000732421875
63,2021-04-06,359.79998779296875,1,1,360.1199951171875
64,2021-04-07,360.8699951171875,1,1,358.80999755859375
65,2021-04-08,362.79998779296875,1,1,361.2200012207031
66,2021-04-09,360.9100036621094,0,0,363.2099914550781
67,2021-04-12,362.8399963378906,1,1,364.80999755859375
68,2021-04-13,365.3399963378906,1,1,365.2099914550781
69,2021-04-14,364.8500061035156,1,1,363.1700134277344
